title,abstract,year,source,doi,url,citations,yield_percent,selectivity,temperature_c,stability_hours,paper_id,score,conversion,catalysts
Selective Oxidations using Nanostructured Heterogeneous Catalysts,,2014.0,CORE,,https://core.ac.uk/download/43247284.pdf,0,,,,,0a56c7e143d6c5ed128dee632c458e63,,,[]
Effect of Dopants and Mechanochemical Treatment on Vanadium Phosphate Catalysts For Partial Oxidation of N-Butane to Maleic Anhydride,,2007.0,CORE,,https://core.ac.uk/download/42992235.pdf,0,,,,,7f4686bf907fdacb41062b480524070c,,,[]
Waste-derived activated carbons for control of nitrogen oxides,,2016.0,CORE,10.1680/jwarm.14.00021,https://core.ac.uk/download/83940831.pdf,0,,,,,4e9d6d355eb8c76fe5b8727bd7ba2051,,,[]
In situ ptychography during the annealing treatment of heterogeneous nanoporous gold catalysts,,2015.0,CORE,,https://core.ac.uk/download/43252244.pdf,0,,,,,52ab2a3f08242611f29237e5290b3653,,,['pt']
Kinetic modelling of heterogeneous catalytic systems,,2015.0,CORE,,https://core.ac.uk/download/29146627.pdf,0,,,,,fe92f2231480c334b56e2c8cd452c55d,,,[]
The oxidative ammonolysis of ethylene to acetonitrile over supported molybdenum catalysts,,1996.0,CORE,10.6100/ir469707,https://core.ac.uk/download/577012007.pdf,0,,,,,f4a2f67d3e3ced7f7e75a179b5bb57a2,,,[]
Selective Oxidation of Biomass-Derived Chemicals,,2017.0,CORE,,https://core.ac.uk/download/132703178.pdf,0,,,,,99343cd00c59e013db96363d9bc634f4,,,[]
Big data and deep data in scanning and electron microscopies: deriving functionality from multidimensional data sets,,2015.0,CORE,10.1186/s40679-015-0006-6,https://core.ac.uk/download/pdf/81812832.pdf,0,,,,,a44982c2df319e0d1b42ec31774aade4,,,[]
Catalytic Hydrodeoxygenation and Dehydration of Bioderived Oxygenates to Renewable Hydrocarbon Building Block Molecules: Enabling Renewable Carbon Fiber,,2017.0,CORE,,https://core.ac.uk/download/268795117.pdf,0,,,,,713449d39f4e55b68947bcbac4110f34,,,[]
Role of Precious Metal Catalysts,,2012.0,CORE,10.5772/34249,https://core.ac.uk/download/322405668.pdf,0,,,,,1ef051e77cde185ca096e9ce7ca26476,,,[]
Energy efficiency and GHG emissions: Prospective scenarios for the Chemical and Petrochemical Industry,,2017.0,CORE,10.2760/630308,https://core.ac.uk/download/84886580.pdf,0,,,,,dab74436435c272b7cee53fa09b2b671,,,[]
The Mechanism of Alkane Selective Oxidation by the M1 Phase of Mo–V–Nb–Te Mixed Metal Oxides: Suggestions for Improved Catalysts,,2016.0,CORE,,https://core.ac.uk/download/216244604.pdf,0,,,,,792004252e5dec46adabf585ad6f41c3,,,[]
In-situ synthesis optimization and scale-up procedure of zeolitic coatings on molybdenum substrate,,2005.0,CORE,,https://core.ac.uk/download/577467292.pdf,0,,,,,17fd79f00ca3ffe6facfccdf8bedd18b,,,['pt']
Comparison of C═C bond hydrogenation in C-4 unsaturated nitriles over Pt/alumina,,2016.0,CORE,10.1021/acs.iecr.5b04047,https://core.ac.uk/download/46558795.pdf,0,,,,,8c9e02dba2fa8fc3129b592ac477a577,,,['pt']
Negative effects of cyanide on health and its removal options from industrial wastewater,,2015.0,CORE,,https://core.ac.uk/download/143844463.pdf,0,,,,,6ce35ef646dfb22652db1c9708660c13,,,['pt']
Atmospheric Research and Monitoring Study of Hazardous Substances,,1985.0,CORE,,https://core.ac.uk/download/4812338.pdf,0,,,,,a881b6d7f4dbdffdb4c222d41049f418,,,[]
Advances in bioleaching as a sustainable method for metal recovery from e-waste:A review,,2019.0,CORE,10.1016/j.jiec.2019.03.047,https://core.ac.uk/download/228157777.pdf,0,,,,,e8375b7825c30b39cd10e622cbd29a7c,,,[]
Study of the influence of technological parameters on the output of hydrogen cyanide,,2019.0,CORE,10.20998/2413-4295.2019.05.14,https://core.ac.uk/download/200973646.pdf,0,,,,,ecb019c536053dd4313a5438b7c235d5,,,[]
On the abundance of non-cometary HCN on Jupiter,,2010.0,CORE,10.1039/c003954c,http://arxiv.org/abs/1006.3508,0,,,,,0fca8eef705daf788781f6f2f9f8f8d2,,,[]
"Gold 2003: Highlights of this International Conference on the Science, Technology and Industrial Applications of Gold, Vancouver 28 September – 1 October 2003",,,CORE,10.1007/bf03215505,https://core.ac.uk/download/pdf/81776585.pdf,0,,,,,78ebd79ba8606e5471ab6e65c17ec573,,,['pt']
Research of the influence of the composition of the initial gas mixture on the formation of hydrogen cyanide,,2018.0,CORE,10.20998/2079-0821.2018.39.05,https://core.ac.uk/download/185576521.pdf,0,,,,,08d8c77b15478c4f0cea4ced869e870b,,,[]
Biological Remediation of Cyanide: a Review,,2015.0,CORE,,https://media.neliti.com/media/publications/61533-EN-biological-remediation-of-cyanide-a-revi.pdf,0,,,,,8e9b389c2472475a681fb4f4150f39cb,,,[]
Nitrido Zeolites. A Novel and Promising Class of Compounds,,1994.0,CORE,10.5282/ubm/epub.3949,https://core.ac.uk/download/12164828.pdf,0,,,,,6f993c9b745b970ee010e415471d9681,,,[]
Isolation of Cyanide Hydratase Mutants from Gloeocerospora Sorghi at alkaline pH,,2013.0,CORE,,https://core.ac.uk/download/13643406.pdf,0,,,,,dec340daca8212de004918d78f6ce5c2,,,[]
Visible light responsive titanium dioxide (TiO<inf>2</inf>),,2008.0,CORE,,https://opus.lib.uts.edu.au/bitstream/10453/9199/1/2008005324.pdf,0,,,,,f2935b3d888038a1620531e6a1b0c161,,,[]
Bases of inorganic and organic chemistry,,2016.0,CORE,,https://core.ac.uk/download/287921144.pdf,0,,,,,dfba53a4b42656465cdd3ff08c01cc73,,,[]
Polyoxometalate (POM)-layered double hydroxides (LDH) composite materials: design and catalytic applications,,2017.0,CORE,10.3390/catal7090260,https://core.ac.uk/download/96883278.pdf,0,,,,,30916b8315c24ebe26aa81f41a49a0ac,,,[]
"Materials Balance for Bromine, Chlorine, Sulfur, and Nitrogen in Europe",,1988.0,CORE,,https://core.ac.uk/download/33894603.pdf,0,,,,,d93896d2cec673f3e2dc9784ee24d5d0,,,[]
