source,title,authors,year,citations,abstract,catalysts,yield,cycles,recovery,score
arXiv,Electrocatalytic reduction of nitrogen to ammonia in ionic liquids,"Yuan Tian, Yanrong Liu, Hao Wang, Lei Liu, Wenping Hu",2021,0,"Ammonia NH3 is an important raw material for nitrogen fertilizer production and is widely used in industry. It is also a carbon free renewable fuel and an excellent hydrogen storage material. Reaction conditions of traditional Haber Bosch process are very harsh although it supports most of todays NH3 production. Recently, electrocatalytic nitrogen reduction reaction NRR has become one of the effective alternative methods to the traditional Haber Bosch process due to the advantages of mild operation conditions and almost no environmental pollutions. Ionic liquids ILs act as one of green solvents possess a lot of unique features and have shown excellent performance in electrocatalytic NRR process. In this review, we summarize fundamentals of the electrocatalytic NRR, the role of ILs in several typical electrocatalytic processes, and the possible role of ILs in the electrocatalytic NRR process. Moreover, the selection principles and issues of the application of ILs, as well as the future development direction for the electrocatalytic NRR process are concluded.","['fe', 'mo', 'co', 'ni', 'ir']",,,,
arXiv,Transition Metal-Tetracyanoquinodimethane Monolayers as Single-Atom Catalysts for Electrocatalytic Nitrogen Reduction Reaction,"Yiran Ying, Ke Fan, Xin Luo, Haitao Huang",2020,0,"Converting earth-abundant dinitrogen into value-added chemical ammonia is a significant yet challenging topic. Electrocatalytic nitrogen reduction reaction (NRR), compared with conventional Haber-Bosch process, is an energy-saving and environmentally friendly approach. The major task of electrocatalytic NRR is to find electrocatalysts which can activate dinitrogen effectively and exhibit high selectivity and stability. Single atom catalysts can act as a good solution. In this work, by means of first-principles density functional theory, molecular dynamics calculations, and a two-step screening process, we confirm that single Sc and Ti atom supported on tetracyanoquinodimethane monolayers (Sc,Ti-TCNQ) are excellent candidates for NRR electrocatalysts. N2 adsorption and activation are effective due to the acceptance-donation mechanism and outstanding electronic structure of TM-TCNQ, and Gibbs free energy diagram shows that Sc-TCNQ and Ti-TCNQ exhibit low NRR overpotential of 0.33 and 0.22 V through enzymatic-consecutive mixed pathway, respectively. In addition, selectivity over HER and stability of Sc/Ti-TCNQ monolayers are also validated. This work opens a new avenue for designing novel single atom catalysts for NRR as well as other catalytic applications.","['ru', 'fe', 'mo', 'co', 'ni', 'pt', 'cu', 'ir']",,,,
arXiv,The Key Steps and Distinct Performance Trends of Pyrrolic vs. Pyridinic M-N-C Catalysts in Electrocatalytic Nitrate Reduction,"Qiuling Jiang, Mingyao Gu, Tianyi Wang, Fangzhou Liu, Xin Yang, Di Zhang, Zhijian Wu, Ying Wang, Li Wei, Hao Li",2024,0,"Electrochemical nitrate reduction reaction(NO3RR)offers a sustainable route for ambient ammonia synthesis. While metal-nitrogen-carbon (M-N-C) single-atom catalysts have emerged as promising candidates for NO3RR, the structure-activity relations underlying their catalytic behavior remain to be elucidated. Through systematic analysis of reported experimental data and pH-field coupled microkinetic modelling on a reversible hydrogen electrode (RHE) scale, we reveal that the coordination-dependent activity originates from distinct scaling relations governed by metal-intermediate interactions. M-N-Pyrrolic catalysts demonstrate higher turnover frequencies for ammonia production, whereas M-N-Pyridinic catalysts exhibit broader activity ranges across the activity volcano plot. Meanwhile, the adsorption and protonation of nitrate, which is a step often dismissed and/or assumed to be simultaneous in many previous reports, is identified to be the rate-determining step (RDS) in NO3RR. Remarkably, our subsequent experimental validation confirms the theoretical predictions under both neutral and alkaline conditions. This study offers a comprehensive mechanistic framework for interpreting the electrocatalytic activity of M-N-C catalysts in NO3RR, showing that a classical thermodynamic limiting-potential model is not sufficiently accurate to capture the RDS and the catalytic performance trends of different materials (even on M-N-Pyrrolic and M-N-Pyridinic catalysts). These findings provide brand new insights into the reaction mechanism of NO3RR and establish fundamental design principles for electrocatalytic ammonia synthesis.","['ru', 'fe', 'mo', 'co', 'ni', 'pt', 'cu', 'ir', 'rh']",,,,
arXiv,Kinetic Expression for Optimal Catalyst Electronic Configuration: The Case of Ammonia Decomposition,"Nigora Turaeva, Rebecca Fushimi, Gregory Yablonsky",2020,0,"A new steady-state kinetic model of ammonia decomposition is presented and analyzed regarding the electronic properties of metal catalysts. The model is based on the classical Temkin-Ertl mechanism and modified in accordance with Wolkenstein electronic theory by implementing participation of free electrons of the catalyst to change the chemical nature of adsorbed species. Wolkenstein original theory only applied to semiconductors but by including the d-band model, the electronic theory can be extended to metals. For both simplified and full reaction mechanisms, including electronic steps, we present a steady-state rate equation where the dependence on the Fermi level of the metal creates a volcano-shaped dependence. According to the kinetic model, an increasing Fermi level of the catalyst, that approaching the antibonding state with adsorbed nitrogen molecules, will increase the fraction of neutral nitrogen molecules and enhance their the desorption. Concurrently, strong chemisorption of ammonia molecules proceeds easily through participation of additional free catalyst electrons in the adsorbate bond. As a result, the reaction rate is enhanced and reaches its maximum value. A further increasing Fermi level of the catalyst that approaches the antibonding state with ammonia molecules will result in a smaller fraction of negatively charged ammonia molecules and less dehydrogenation. Concurrently, the desorption of neutral nitrogen molecules occurs without impairment. As a result, the reaction rate decreases. The detailed kinetic model is compared to recent experimental measurements of ammonia decomposition on iron, cobalt and CoFe bimetallic catalysts.","['fe', 'mo', 'co', 'ni', 'pt', 'cu', 'ir']",,,,
arXiv,Exploring Dual-Iron Atomic Catalysts for Efficient Nitrogen Reduction: A Comprehensive Study on Structural and Electronic Optimization,"Zhe Zhang, Wenxin Ma, Jiajie Qiao, Xiaoliang Wu, Shaowen Yu, Weiye Hou, Xiang Huang, Rubin Huo, Hongbo Wu, Yusong Tu",2025,0,"The nitrogen reduction reaction (NRR), as an efficient and green pathway for ammonia synthesis, plays a crucial role in achieving on-demand ammonia production. This study proposes a novel design concept based on dual-iron atomic sites and nitrogen-boron co-doped graphene catalysts, exploring their high efficiency in NRR. By modulating the N and B co-doped ratios, we found that Fe2N3B@G catalyst exhibited significant activity in the adsorption and hydrogenation of N2 molecules, especially with the lowest free energy (0.32 eV) on NRR distal pathway, showing its excellent nitrogen activation capability and NRR performance. The computed electron localization function, crystal orbital Hamiltonian population, electrostatic potential map revealed that the improved NRR kinetics of Fe2N3B@G catalyst derived by N3B co-doping induced optimization of Fe-Fe electronic environment, regulation of Fe-N bond strength, and the continuous electronic support during the N2 breakage and hydrogenation. In particular, machine learning molecular dynamics (MLMD) simulations were employed to verify the high activity of Fe2N3B@G catalyst in NRR, which reveal that Fe2N3B@G effectively regulates the electron density of Fe-N bond, ensuring the smooth generation and desorption of NH3 molecules and avoiding the competition with hydrogen evolution reaction (HER). Furthermore, the determined higher HER overpotential of Fe2N3B@G catalyst can effectively inhibit the HER and enhance the selectivity toward NRR. In addition, Fe2N3B@G catalyst also showed good thermal stability by MD simulations up to 500 K, offering its feasibility in practical applications. This study demonstrates the superior performance of Fe2N3B@G in nitrogen reduction catalysis, and provides theoretical guidance for atomic catalyst design by the co-doping strategy and in-deep electronic environment modulation.","['ru', 'fe', 'mo', 'co', 'ni', 'pt', 'cu', 'ir']",,,,
arXiv,Carbon riveted Pt/MnO2-Graphene catalyst prepared by in situ carbonized L-ascorbic acid with improved electrocatalytic activity and stability,Hailong Chen,2020,0,"Pt/Graphene and Pt/MnO2-Graphene catalysts have been prepared by microwave-assisted polyol process. Electrochemical results show that Pt/MnO2-Graphene has higher electrocatalytic activity and stability. Furthermore, carbon riveted Pt/MnO2-Graphene catalyst has been designed and synthesized on the basis of in situ carbonization of L-ascorbic acid. The stability for carbon riveted Pt/MnO2-catalyst is significantly enhanced.","['mo', 'co', 'ni', 'pt']",,,,
arXiv,Optimization of High Entropy Alloy Catalyst for Ammonia Decomposition and Ammonia Synthesis,"Wissam A. Saidi, Waseem Shadid, Götz Veser",2021,0,"The successful synthesis of high entropy alloy (HEA) nanoparticles, a long-sought goal in materials science, opens a new frontier in materials science with applications across catalysis, electronics, structural alloys, and energetic materials. Recently, a Co25Mo45Fe10Ni10Cu10 HEA made of earth-abundant elements was shown to have a high catalytic activity for ammonia decomposition, which rivals that of state-of-the-art, but prohibitively expensive, ruthenium catalyst. Using a computational approach based on first-principles calculations in conjunction with data analytics and machine learning, we build a model to rapidly compute the adsorption energy of H, N, and NHx (x=1,3) species on CoMoFeNiCu alloy surfaces with varied alloy compositions and atomic arrangement. We show that the 25/45 Co/Mo ratio identified experimentally as the most active composition for ammonia decomposition increases the likelihood that the surface adsorbs nitrogen equivalently to that of ruthenium while at the same time interacting moderately strongly with intermediates. Our study underscores the importance of computational modeling and machine learning to identify and optimize HEA alloys across their near-infinite materials design space.","['ru', 'fe', 'mo', 'co', 'ni', 'pt', 'cu', 'ir']",,,,
arXiv,Tracing the atomic nitrogen abundance in star-forming regions with ammonia deuteration,"Kenji Furuya, Magnus V. Persson",2018,0,"Partitioning of elemental nitrogen in star-forming regions is not well constrained. Most nitrogen is expected to be partitioned among atomic nitrogen, molecular nitrogen (N2), and icy N-bearing molecules, such as ammonia (NH3) and N2. Atomic nitrogen is not directly observable in the cold gas. In this paper, we propose an indirect way to constrain the amount of atomic nitrogen in the cold gas of star-forming clouds, via deuteration in ammonia ice, the [ND2H/NH2D]/[NH2D/NH3] ratio. Using gas-ice astrochemical simulations, we show that if atomic nitrogen remains as the primary reservoir of nitrogen during cold ice formation stages, the [ND2H/NH2D]/[NH2D/NH3] ratio is close to the statistical value of 1/3 and lower than unity, whereas if atomic nitrogen is largely converted into N-bearing molecules, the ratio should be larger than unity. Observability of ammonia isotopologues in the inner hot regions around low-mass protostars, where ammonia ice has sublimated, is also discussed. We conclude that the [ND2H/NH2D]/[NH2D/NH3] ratio can be quantified using a combination of VLA and ALMA observations with reasonable integration times, at least toward IRAS 16293-2422 where high molecular column densities are expected.","['mo', 'co', 'ni', 'cu', 'ir']",,,,
arXiv,Advancing C-C Coupling of Electrocatalytic CO2 Reduction Reaction for C2+ Products,"Guangyuan Liang, Sheng Yang, Chao Wu, Yang Liu, Yi Zhao, Liang Huang, Shaowei Zhang, Shixue Dou, Hongfang Du, Dandan Cui, Liangxu Lin",2025,0,"The production of multicarbon (C2+) products through electrocatalytic CO2 reduction reaction (CO2RR) is crucial to addressing global environmental challenges and advancing sustainable energy solutions. However, efficiently producing these high-value chemicals via C-C coupling reactions is a significant challenge. This requires catalysts with optimized surface configurations and electronic properties capable of breaking the scaling relations among various intermediates. In this report, we introduce the fundamentals of electrocatalytic CO2RR and the mechanism of C-C coupling. We examine the effects of catalytic surface interactions with key intermediates and reaction pathways, and discuss emerging strategies for enhancing C-C coupling reactions toward C2+ products. Despite varieties of these strategies, we summarize direct clues for the proper design of the catalyst for the electrocatalytic CO2RR towards C2+ products, aiming to provide valuable insights to broad readers in the field.","['ru', 'fe', 'mo', 'co', 'ni', 'pt', 'cu', 'ir']",,,,
arXiv,High-entropy oxide photocatalysts for green ammonia synthesis from nitrogen fixation in water,"Thanh Tam Nguyen, Jacqueline Hidalgo-Jimenez, Kaveh Edalati",2025,0,"Ammonia, a critical chemical fertilizer and a potential hydrogen carrier, can be sustainably synthesized from atmospheric nitrogen and water under ambient conditions through photocatalysis. In this study, high-entropy oxides with d0 and mixed d0+d10 cationic configurations are introduced as a new group of catalysts for nitrogen fixation and photocatalytic ammonia production. The oxides exhibit impressive efficiency in ammonia production compared to binary oxides, while the efficiency is improved by using a mixed cationic configuration. It was shown that the incorporation of d10 elements, such as gallium and zinc, boosts the photocatalytic reactions by improving light absorbance, charge separation and charge lifetime. These findings demonstrate the potential of high-entropy oxides as next-generation photocatalysts for green ammonia synthesis, offering an effective alternative to conventional catalytic systems.","['fe', 'mo', 'co', 'ni']",,,,
arXiv,Poisoning mechanism of ammonia on proton transport and ionomer structure in cathode catalyst layer of PEM fuel cells,"Yichao Huang, Zhen Zeng, Tianyou Wang, Zhizhao Che",2026,0,"Ammonia has strong poisoning effects on cathode catalyst layers of proton exchange membrane (PEM) fuel cells, but the poisoning mechanism is still unclear. In this study, all-atom molecular dynamics simulations are employed to investigate the poisoning mechanisms of ammonia. The results show that ammonium can replace the hydronium ions at the charged sites of sulfonic acid group of the ionomer side chain, and the adsorption of ammonium to sulfonic acid group can be attributed to van der Waals force and electrostatic interaction. Furthermore, other ammonia derivatives, amino and imino ions, can capture hydronium ions to form ion clusters. These ion clusters have strong capability to absorb hydronium ions, and their structures change with ammonia content and temperature. The main mechanism of formation of these clusters is due to the formation of relatively stable hydrogen bonds between ions within the clusters. These mechanisms significantly reduce the efficiency of proton transport, thereby decreasing the catalyst layer's performance in electrochemical reactions. We also discover that the increase in temperature leads to the dissociation of large ion clusters, the blockage in the ionomer layer can be alleviated, and the proton transport efficiency can be restored. The understanding of the poisoning mechanisms obtained in this study is helpful for subsequent research aimed at resolving ammonia poisoning and enhancing the anti-poisoning performance of catalyst layers.","['ru', 'fe', 'mo', 'co', 'ni', 'pt', 'cu', 'ir']",,,,
arXiv,Self-Similar Solutions and Global Existence for Nonlinear Reaction-Diffusion Systems in Industrial Ammonia Synthesis,"Jamshid Khasanov, Sokhibjan Muminov, Sardor Jumaniyozov, Oybek Djabborov, Khudayberganov Shuhrat",2026,0,"This paper investigates a system of nonlinear reaction-diffusion equations modeling the industrial synthesis of ammonia. By applying Lie group analysis, we construct self-similar solutions and derive a reduced system of ordinary differential equations. Using comparison principles and barrier techniques, we establish sufficient conditions for the existence of global-in-time solutions in both slow-diffusion ($γ_i > 0$) and fast-diffusion ($γ_i < 0$) regimes. Detailed asymptotic analysis near the diffusion front reveals power-law behavior of concentration profiles, with explicit expressions for the decay exponents. The theoretical results are illustrated by numerical simulations, demonstrating the spatio-temporal evolution of reactant concentrations under realistic parameter values. The study provides rigorous mathematical foundations for predicting and optimizing ammonia production in catalytic reactors, with potential extensions to other chemically reacting systems.","['ru', 'fe', 'mo', 'co', 'ni', 'pt']",,,,
arXiv,High-throughput screening of heterogeneous transition metal dual-atom catalysts by synergistic effect for nitrate reduction to ammonia,"Zheng Shu, Hongfei Chen, Xing Liu, Huaxian Jia, Hejin Yan, Yongqing Cai",2023,0,"Nitrate reduction to ammonia has attracted much attention for nitrate (NO3-) removal and ammonia (NH3) production. Identifying promising catalyst for active nitrate electroreduction reaction (NO3RR) is critical to realize efficient upscaling synthesis of NH3 under low-temperature condition. For this purpose, by means of spin-polarized first-principles calculations, the NO3RR performance on a series of graphitic carbon nitride (g-CN) supported double-atom catalysts (denoted as M1M2@g-CN) are systematically investigated. The synergistic effect of heterogeneous dual-metal sites can bring out tunable activity and selectivity for NO3RR. Amongst 21 candidates examined, FeMo@g-CN and CrMo@g-CN possess a high performance with low limiting potentials of -0.34 and -0.39 V, respectively. The activities can be attributed to a synergistic effect of the M1M2 dimer d orbitals coupling with the anti-bonding orbital of NO3-. The dissociation of deposited FeMo and CrMo dimers into two separated monomers is proved to be difficult, ensuring the kinetic stability of M1M2@g-CN. Furthermore, the dual-metal decorated on g-CN significantly reduces the bandgap of g-CN and broadens the adsorption window of visible light, implying its great promise for photocatalysis. This work opens a new avenue for future theoretical and experimental design related to NO3RR photo-/electrocatalysts.","['fe', 'mo', 'co', 'ni', 'pt', 'cu', 'ir']",,,,
